"Own_functional_mobile","Education","Locality","Geographic_Area","Sex","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69"
"Both smart and non smart phone","Never attended","Rural","Ghana","Male",4973,12899,16519,19950,19600,18227,14760,11896,7883,6884,2936
"Both smart and non smart phone","Never attended","Rural","Ghana","Female",4128,11577,14743,18161,18072,17219,14543,12313,8672,7275,3527
"Both smart and non smart phone","Never attended","Rural","Western","Male",259,897,1307,1612,1587,1269,1045,738,527,408,183
"Both smart and non smart phone","Never attended","Rural","Western","Female",194,775,1185,1489,1474,1330,1207,924,660,494,240
"Both smart and non smart phone","Never attended","Rural","Central","Male",118,436,620,685,813,775,729,653,469,434,168
"Both smart and non smart phone","Never attended","Rural","Central","Female",109,403,600,864,1120,1146,1212,1119,922,775,408
"Both smart and non smart phone","Never attended","Rural","Greater Accra","Male",58,194,292,335,384,383,329,259,178,143,55
"Both smart and non smart phone","Never attended","Rural","Greater Accra","Female",46,167,387,508,583,529,482,403,278,226,119
"Both smart and non smart phone","Never attended","Rural","Volta","Male",102,292,385,490,573,477,432,374,265,235,96
"Both smart and non smart phone","Never attended","Rural","Volta","Female",79,283,418,653,702,718,808,766,620,558,244
"Both smart and non smart phone","Never attended","Rural","Eastern","Male",173,631,827,979,1150,973,971,750,613,516,232
"Both smart and non smart phone","Never attended","Rural","Eastern","Female",144,483,786,1110,1386,1409,1386,1260,993,815,407
"Both smart and non smart phone","Never attended","Rural","Ashanti","Male",279,991,1434,2025,2213,2037,1871,1467,976,838,330
"Both smart and non smart phone","Never attended","Rural","Ashanti","Female",296,1013,1662,2116,2473,2261,2139,1819,1327,1185,547
"Both smart and non smart phone","Never attended","Rural","Western North","Male",158,531,788,1050,1172,1076,909,732,530,394,179
"Both smart and non smart phone","Never attended","Rural","Western North","Female",163,613,782,1046,1107,1074,875,739,498,359,153
"Both smart and non smart phone","Never attended","Rural","Ahafo","Male",69,240,333,444,583,551,457,380,272,183,114
"Both smart and non smart phone","Never attended","Rural","Ahafo","Female",73,255,362,504,511,516,455,411,273,190,92
"Both smart and non smart phone","Never attended","Rural","Bono","Male",111,343,409,529,646,623,550,432,389,275,127
"Both smart and non smart phone","Never attended","Rural","Bono","Female",113,332,413,603,695,681,628,610,485,372,175
"Both smart and non smart phone","Never attended","Rural","Bono East","Male",291,716,899,1121,1119,1074,885,701,507,357,182
"Both smart and non smart phone","Never attended","Rural","Bono East","Female",257,638,823,975,905,871,709,518,377,282,132
"Both smart and non smart phone","Never attended","Rural","Oti","Male",213,512,704,806,791,744,586,459,288,259,110
"Both smart and non smart phone","Never attended","Rural","Oti","Female",165,421,559,671,642,534,434,383,233,196,86
"Both smart and non smart phone","Never attended","Rural","Northern","Male",1161,2612,3169,3518,2940,3133,2119,1854,968,1040,357
"Both smart and non smart phone","Never attended","Rural","Northern","Female",873,2338,2370,2629,1966,1782,995,739,402,378,163
"Both smart and non smart phone","Never attended","Rural","Savannah","Male",476,1122,1285,1516,1227,1124,739,606,347,354,144
"Both smart and non smart phone","Never attended","Rural","Savannah","Female",395,840,839,873,690,584,389,275,133,129,66
"Both smart and non smart phone","Never attended","Rural","North East","Male",540,1119,1208,1460,1197,1036,713,554,279,306,119
"Both smart and non smart phone","Never attended","Rural","North East","Female",397,941,978,1026,812,638,416,319,161,156,60
"Both smart and non smart phone","Never attended","Rural","Upper East","Male",539,1233,1617,1946,1862,1711,1452,1150,775,693,367
"Both smart and non smart phone","Never attended","Rural","Upper East","Female",488,1253,1656,1994,1982,2145,1635,1393,865,784,451
"Both smart and non smart phone","Never attended","Rural","Upper West","Male",426,1030,1242,1434,1343,1241,973,787,500,449,173
"Both smart and non smart phone","Never attended","Rural","Upper West","Female",336,822,923,1100,1024,1001,773,635,445,376,184
"Both smart and non smart phone","Never attended","Urban","Ghana","Male",2176,6755,10260,13461,14236,14360,12278,9929,6736,5986,2536
"Both smart and non smart phone","Never attended","Urban","Ghana","Female",3004,9792,14999,20048,21783,20964,18667,16647,11790,10785,5161
"Both smart and non smart phone","Never attended","Urban","Western","Male",97,355,546,713,753,625,618,433,329,251,114
"Both smart and non smart phone","Never attended","Urban","Western","Female",115,401,645,989,1152,1129,1055,960,773,585,270
"Both smart and non smart phone","Never attended","Urban","Central","Male",156,450,663,918,1066,1087,1029,728,511,425,204
"Both smart and non smart phone","Never attended","Urban","Central","Female",137,577,939,1390,1675,1734,1615,1476,1074,948,465
"Both smart and non smart phone","Never attended","Urban","Greater Accra","Male",324,1301,2269,2655,2754,2552,2207,1611,1080,914,403
"Both smart and non smart phone","Never attended","Urban","Greater Accra","Female",597,1948,3024,4297,5100,4580,4245,3686,2678,2454,1088
"Both smart and non smart phone","Never attended","Urban","Volta","Male",53,202,285,429,428,404,357,254,185,155,52
"Both smart and non smart phone","Never attended","Urban","Volta","Female",60,234,421,625,763,751,754,717,557,476,223
"Both smart and non smart phone","Never attended","Urban","Eastern","Male",123,337,525,729,791,749,713,592,394,384,141
"Both smart and non smart phone","Never attended","Urban","Eastern","Female",129,433,723,1019,1368,1347,1307,1270,1008,924,421
"Both smart and non smart phone","Never attended","Urban","Ashanti","Male",238,890,1460,1770,1992,1983,1874,1472,1100,997,400
"Both smart and non smart phone","Never attended","Urban","Ashanti","Female",421,1357,2198,2876,3384,3425,3320,2974,2135,2005,1029
"Both smart and non smart phone","Never attended","Urban","Western North","Male",39,110,173,235,257,267,206,192,116,105,37
"Both smart and non smart phone","Never attended","Urban","Western North","Female",37,180,229,350,356,390,323,320,182,184,86
"Both smart and non smart phone","Never attended","Urban","Ahafo","Male",42,95,177,215,280,260,248,201,170,114,47
"Both smart and non smart phone","Never attended","Urban","Ahafo","Female",44,183,275,357,374,369,362,337,258,191,108
"Both smart and non smart phone","Never attended","Urban","Bono","Male",106,287,353,440,530,556,406,449,336,306,128
"Both smart and non smart phone","Never attended","Urban","Bono","Female",130,331,502,712,790,867,817,840,659,597,340
"Both smart and non smart phone","Never attended","Urban","Bono East","Male",183,473,636,879,891,893,715,615,405,331,142
"Both smart and non smart phone","Never attended","Urban","Bono East","Female",244,686,946,1127,1222,1038,949,790,540,462,244
"Both smart and non smart phone","Never attended","Urban","Oti","Male",104,242,357,402,371,393,287,240,155,133,58
"Both smart and non smart phone","Never attended","Urban","Oti","Female",114,336,440,436,425,397,292,238,164,158,71
"Both smart and non smart phone","Never attended","Urban","Northern","Male",348,1012,1406,2152,2206,2584,1999,1852,1059,1110,462
"Both smart and non smart phone","Never attended","Urban","Northern","Female",495,1764,2674,3308,2848,2804,1906,1596,846,950,433
"Both smart and non smart phone","Never attended","Urban","Savannah","Male",91,269,329,528,435,488,343,248,223,160,81
"Both smart and non smart phone","Never attended","Urban","Savannah","Female",120,347,495,599,507,432,340,270,178,157,79
"Both smart and non smart phone","Never attended","Urban","North East","Male",160,402,481,627,655,614,485,368,239,214,91
"Both smart and non smart phone","Never attended","Urban","North East","Female",198,485,618,848,645,583,461,361,239,212,100
"Both smart and non smart phone","Never attended","Urban","Upper East","Male",73,226,392,492,505,572,497,438,290,241,112
"Both smart and non smart phone","Never attended","Urban","Upper East","Female",96,318,536,682,736,698,586,515,306,303,122
"Both smart and non smart phone","Never attended","Urban","Upper West","Male",39,104,208,277,322,333,294,236,144,146,64
"Both smart and non smart phone","Never attended","Urban","Upper West","Female",67,212,334,433,438,420,335,297,193,179,82
"Both smart and non smart phone","Primary","Rural","Ghana","Male",10279,17767,17495,16487,16852,12782,10583,7835,5639,4380,2918
"Both smart and non smart phone","Primary","Rural","Ghana","Female",10097,18557,18482,17466,16673,12438,10450,8310,5775,4684,3101
"Both smart and non smart phone","Primary","Rural","Western","Male",670,1363,1505,1441,1509,1095,1006,682,483,358,212
"Both smart and non smart phone","Primary","Rural","Western","Female",709,1507,1537,1522,1464,958,804,628,357,275,135
"Both smart and non smart phone","Primary","Rural","Central","Male",558,1151,1180,1154,1430,1189,1058,808,655,541,378
"Both smart and non smart phone","Primary","Rural","Central","Female",710,1479,1697,1747,1802,1459,1333,1055,701,591,365
"Both smart and non smart phone","Primary","Rural","Greater Accra","Male",268,654,736,731,710,542,445,299,202,155,80
"Both smart and non smart phone","Primary","Rural","Greater Accra","Female",318,813,1010,922,915,617,472,328,178,159,103
"Both smart and non smart phone","Primary","Rural","Volta","Male",609,1384,1663,1730,1818,1393,1164,968,694,585,417
"Both smart and non smart phone","Primary","Rural","Volta","Female",687,1690,2021,2133,2110,1687,1471,1303,970,825,656
"Both smart and non smart phone","Primary","Rural","Eastern","Male",1016,2138,2318,2269,2633,2161,1877,1446,1029,810,569
"Both smart and non smart phone","Primary","Rural","Eastern","Female",1053,2290,2633,2681,3012,2387,2139,1707,1297,1007,695
"Both smart and non smart phone","Primary","Rural","Ashanti","Male",1252,2319,2419,2337,2851,2225,1939,1356,1014,791,445
"Both smart and non smart phone","Primary","Rural","Ashanti","Female",1412,2655,3010,3073,3090,2393,2108,1645,1189,989,595
"Both smart and non smart phone","Primary","Rural","Western North","Male",323,611,752,793,862,644,537,449,336,219,140
"Both smart and non smart phone","Primary","Rural","Western North","Female",419,803,841,818,788,540,444,321,209,160,87
"Both smart and non smart phone","Primary","Rural","Ahafo","Male",240,376,406,426,477,390,310,229,169,108,105
"Both smart and non smart phone","Primary","Rural","Ahafo","Female",203,402,379,407,403,352,257,210,140,100,64
"Both smart and non smart phone","Primary","Rural","Bono","Male",371,653,537,584,593,463,347,299,194,168,126
"Both smart and non smart phone","Primary","Rural","Bono","Female",429,679,605,592,575,416,339,312,199,181,127
"Both smart and non smart phone","Primary","Rural","Bono East","Male",724,1234,960,881,763,550,381,298,185,166,100
"Both smart and non smart phone","Primary","Rural","Bono East","Female",717,1123,852,715,537,376,284,223,136,125,63
"Both smart and non smart phone","Primary","Rural","Oti","Male",415,767,729,776,702,528,489,333,246,162,112
"Both smart and non smart phone","Primary","Rural","Oti","Female",438,773,667,630,606,419,348,273,198,151,119
"Both smart and non smart phone","Primary","Rural","Northern","Male",851,1080,996,767,600,417,234,140,77,65,34
"Both smart and non smart phone","Primary","Rural","Northern","Female",617,967,550,377,200,129,50,27,19,7,9
"Both smart and non smart phone","Primary","Rural","Savannah","Male",332,511,394,287,230,154,94,79,45,35,25
"Both smart and non smart phone","Primary","Rural","Savannah","Female",365,521,322,171,120,57,31,26,17,4,1
"Both smart and non smart phone","Primary","Rural","North East","Male",413,481,366,293,233,118,80,63,34,35,17
"Both smart and non smart phone","Primary","Rural","North East","Female",286,362,268,185,105,50,25,21,9,3,6
"Both smart and non smart phone","Primary","Rural","Upper East","Male",1399,1867,1598,1336,985,631,471,276,200,122,109
"Both smart and non smart phone","Primary","Rural","Upper East","Female",987,1504,1310,1050,675,436,266,171,116,67,38
"Both smart and non smart phone","Primary","Rural","Upper West","Male",838,1178,936,682,456,282,151,110,76,60,49
"Both smart and non smart phone","Primary","Rural","Upper West","Female",747,989,780,443,271,162,79,60,40,40,38
"Both smart and non smart phone","Primary","Urban","Ghana","Male",5782,10878,11472,12290,13376,11036,9575,6985,4793,3721,2249
"Both smart and non smart phone","Primary","Urban","Ghana","Female",7309,14999,17764,20220,21927,17823,15444,12068,8598,6893,4307
"Both smart and non smart phone","Primary","Urban","Western","Male",267,637,728,753,775,638,583,395,292,211,116
"Both smart and non smart phone","Primary","Urban","Western","Female",352,777,1100,1162,1292,1076,964,715,471,401,225
"Both smart and non smart phone","Primary","Urban","Central","Male",577,1081,1232,1226,1384,1233,1069,805,538,438,288
"Both smart and non smart phone","Primary","Urban","Central","Female",667,1699,1950,2060,2389,1915,1772,1281,917,688,419
"Both smart and non smart phone","Primary","Urban","Greater Accra","Male",1069,2260,2682,3147,3400,2937,2594,1840,1259,873,519
"Both smart and non smart phone","Primary","Urban","Greater Accra","Female",1551,3150,4572,5848,6510,5582,4735,3718,2543,1958,1174
"Both smart and non smart phone","Primary","Urban","Volta","Male",263,636,707,776,980,768,682,440,364,293,183
"Both smart and non smart phone","Primary","Urban","Volta","Female",344,904,1239,1494,1507,1207,1047,859,672,564,364
"Both smart and non smart phone","Primary","Urban","Eastern","Male",543,1000,1094,1199,1430,1191,1041,795,520,454,271
"Both smart and non smart phone","Primary","Urban","Eastern","Female",724,1562,1792,2190,2506,2175,1983,1632,1195,1067,738
"Both smart and non smart phone","Primary","Urban","Ashanti","Male",836,1691,1818,1972,2169,1817,1597,1206,841,616,379
"Both smart and non smart phone","Primary","Urban","Ashanti","Female",1169,2313,2854,3358,4021,3185,2877,2279,1632,1340,809
"Both smart and non smart phone","Primary","Urban","Western North","Male",74,151,166,209,226,150,142,111,72,63,32
"Both smart and non smart phone","Primary","Urban","Western North","Female",123,220,244,261,297,219,182,129,101,63,39
"Both smart and non smart phone","Primary","Urban","Ahafo","Male",110,187,175,214,232,185,148,105,95,65,39
"Both smart and non smart phone","Primary","Urban","Ahafo","Female",113,254,314,292,328,257,221,180,162,117,69
"Both smart and non smart phone","Primary","Urban","Bono","Male",263,440,405,450,517,368,321,278,196,190,97
"Both smart and non smart phone","Primary","Urban","Bono","Female",352,634,623,767,796,600,538,463,362,272,221
"Both smart and non smart phone","Primary","Urban","Bono East","Male",471,828,702,649,631,513,405,301,205,136,97
"Both smart and non smart phone","Primary","Urban","Bono East","Female",604,1032,987,845,768,557,401,329,232,197,110
"Both smart and non smart phone","Primary","Urban","Oti","Male",182,255,239,238,247,192,159,98,91,57,40
"Both smart and non smart phone","Primary","Urban","Oti","Female",236,407,319,297,278,201,138,116,91,63,43
"Both smart and non smart phone","Primary","Urban","Northern","Male",621,951,787,748,668,538,380,282,160,164,90
"Both smart and non smart phone","Primary","Urban","Northern","Female",542,1066,875,789,537,372,222,146,76,65,44
"Both smart and non smart phone","Primary","Urban","Savannah","Male",105,129,145,99,98,61,52,41,15,30,14
"Both smart and non smart phone","Primary","Urban","Savannah","Female",105,217,165,131,86,54,29,26,15,8,7
"Both smart and non smart phone","Primary","Urban","North East","Male",120,159,137,117,135,91,53,51,19,24,12
"Both smart and non smart phone","Primary","Urban","North East","Female",113,158,138,116,86,55,37,21,11,10,5
"Both smart and non smart phone","Primary","Urban","Upper East","Male",189,297,304,349,338,241,247,173,85,62,42
"Both smart and non smart phone","Primary","Urban","Upper East","Female",191,334,343,398,347,251,205,117,83,57,29
"Both smart and non smart phone","Primary","Urban","Upper West","Male",92,176,151,144,146,113,102,64,41,45,30
"Both smart and non smart phone","Primary","Urban","Upper West","Female",123,272,249,212,179,117,93,57,35,23,11
"Both smart and non smart phone","Secondary","Rural","Ghana","Male",489,1201,1204,1324,1311,4394,8816,6098,5072,4027,4426
"Both smart and non smart phone","Secondary","Rural","Ghana","Female",561,960,764,638,484,2476,5240,1685,1473,1216,2244
"Both smart and non smart phone","Secondary","Rural","Western","Male",27,97,104,157,139,391,863,487,445,319,383
"Both smart and non smart phone","Secondary","Rural","Western","Female",38,72,69,81,58,214,381,124,110,104,146
"Both smart and non smart phone","Secondary","Rural","Central","Male",36,59,78,96,99,479,1146,606,549,405,526
"Both smart and non smart phone","Secondary","Rural","Central","Female",28,56,56,55,41,296,710,220,185,133,289
"Both smart and non smart phone","Secondary","Rural","Greater Accra","Male",13,25,35,58,78,181,292,254,206,153,173
"Both smart and non smart phone","Secondary","Rural","Greater Accra","Female",17,30,29,60,48,113,207,113,92,58,89
"Both smart and non smart phone","Secondary","Rural","Volta","Male",19,92,93,118,104,402,762,783,551,457,485
"Both smart and non smart phone","Secondary","Rural","Volta","Female",35,77,71,71,58,286,546,261,202,167,323
"Both smart and non smart phone","Secondary","Rural","Eastern","Male",36,78,89,135,128,733,1600,881,717,676,741
"Both smart and non smart phone","Secondary","Rural","Eastern","Female",35,61,62,69,50,440,1043,254,261,207,467
"Both smart and non smart phone","Secondary","Rural","Ashanti","Male",65,139,158,180,187,904,1896,1135,975,825,866
"Both smart and non smart phone","Secondary","Rural","Ashanti","Female",72,124,84,103,69,590,1285,293,298,299,494
"Both smart and non smart phone","Secondary","Rural","Western North","Male",19,89,79,88,85,309,567,347,295,232,196
"Both smart and non smart phone","Secondary","Rural","Western North","Female",36,40,51,37,31,139,245,65,47,28,60
"Both smart and non smart phone","Secondary","Rural","Ahafo","Male",12,38,28,34,38,134,294,208,184,133,164
"Both smart and non smart phone","Secondary","Rural","Ahafo","Female",17,33,17,15,16,78,175,48,46,35,67
"Both smart and non smart phone","Secondary","Rural","Bono","Male",9,29,26,46,50,189,405,363,296,202,216
"Both smart and non smart phone","Secondary","Rural","Bono","Female",11,19,19,17,16,101,228,94,68,57,104
