"Usedphone_financial","Education","Locality","Geographic_Area","Sex","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69"
"Used mobile phone for financial transaction","Never attended","Rural","Ghana","Male",14807,37323,50296,60502,60041,55051,44495,35445,23648,19965,11944
"Used mobile phone for financial transaction","Never attended","Rural","Ghana","Female",12913,37291,50184,63672,67082,64836,56519,49917,35871,30226,18483
"Used mobile phone for financial transaction","Never attended","Rural","Western","Male",917,3072,4406,5060,4956,3915,3222,2167,1451,1045,655
"Used mobile phone for financial transaction","Never attended","Rural","Western","Female",731,2699,4006,4984,5179,4545,3985,3227,2203,1697,948
"Used mobile phone for financial transaction","Never attended","Rural","Central","Male",460,1348,2088,2431,2877,2863,2613,2383,1736,1571,1074
"Used mobile phone for financial transaction","Never attended","Rural","Central","Female",420,1521,2473,3582,4908,5314,5887,5602,4677,4140,2768
"Used mobile phone for financial transaction","Never attended","Rural","Greater Accra","Male",221,730,1086,1426,1528,1377,1137,873,618,457,305
"Used mobile phone for financial transaction","Never attended","Rural","Greater Accra","Female",166,734,1491,2103,2334,2181,1969,1576,1158,1048,622
"Used mobile phone for financial transaction","Never attended","Rural","Volta","Male",310,938,1333,1633,1787,1658,1555,1331,950,858,560
"Used mobile phone for financial transaction","Never attended","Rural","Volta","Female",249,1019,1753,2780,3472,3709,4199,4317,3599,3175,2164
"Used mobile phone for financial transaction","Never attended","Rural","Eastern","Male",642,1643,2485,3087,3620,3265,2960,2470,1850,1501,1021
"Used mobile phone for financial transaction","Never attended","Rural","Eastern","Female",443,1576,2646,3973,5188,5648,5525,5169,4020,3415,2345
"Used mobile phone for financial transaction","Never attended","Rural","Ashanti","Male",974,3298,5219,6590,7426,6710,5889,4545,3083,2536,1472
"Used mobile phone for financial transaction","Never attended","Rural","Ashanti","Female",994,3604,5919,8028,9431,8697,8099,7258,5245,4231,2712
"Used mobile phone for financial transaction","Never attended","Rural","Western North","Male",453,1581,2406,3213,3744,3300,2731,2148,1401,1092,527
